<표 6> 부동산 정책 평가,,,,,,,,,,,
문13. 이재명 정부의 부동산 정책이 앞으로 주택 가격 안정이나 주거 부담 완화에 실질적인 효과가 있을 것이라고 보십니까?,,,,,,,,,,,
,,,,,,,,,,,
대분류,세부항목,사례수,매우효과,어느정도효과,별로효과없음,전혀효과없음,모름무응답,긍정,부정,모름무응답_종합,가중값
전체,전체,1000,19,33,24,20,5,52,44,5,1000
,,,,,,,,,,,
성별,남성,507,20,37,20,20,4,56,40,4,496
성별,여성,493,18,29,28,19,5,48,47,5,504
,,,,,,,,,,,
연령,18-29세,139,8,29,35,25,3,37,60,3,150
연령,30대,154,10,32,28,26,3,42,54,3,150
연령,40대,171,17,45,17,16,5,62,34,5,169
연령,50대,196,27,32,16,22,3,59,38,3,194
연령,60대,175,26,28,27,14,5,55,41,5,178
연령,70세이상,165,22,31,23,16,8,53,39,8,159
,,,,,,,,,,,
지역,서울,197,23,28,21,26,2,51,47,2,184
지역,인천경기,324,19,32,23,21,4,51,45,4,323
지역,대전충청세종,97,18,34,25,17,7,51,42,7,110
지역,광주전라,97,26,40,16,8,10,66,24,10,96
지역,대구경북,98,10,30,30,24,6,40,54,6,97
지역,부산울산경남,145,16,35,31,16,2,51,47,2,149
지역,강원제주,42,22,41,18,13,7,62,30,7,41
,,,,,,,,,,,
이념성향,보수,247,10,20,25,42,3,30,67,3,245
이념성향,중도,401,16,34,30,17,4,49,47,4,403
이념성향,진보,282,33,44,18,4,2,76,21,2,282
이념성향,모름무응답,70,14,31,11,20,25,45,31,25,71
,,,,,,,,,,,
지지정당,더불어민주당,463,33,45,15,3,4,77,18,4,460
지지정당,국민의힘,231,3,14,35,46,2,17,81,2,230
지지정당,조국혁신당,29,38,42,10,9,0,80,20,0,28
지지정당,개혁신당,35,0,37,29,34,0,37,63,0,35
지지정당,진보당,16,17,43,18,16,6,60,34,6,16
지지정당,기본소득당,3,32,38,0,30,0,70,30,0,3
지지정당,사회민주당,4,54,23,0,0,23,77,0,23,4
지지정당,그외다른정당,23,5,21,28,42,4,27,70,4,24
지지정당,무당층,196,8,26,34,24,9,34,58,9,199
,,,,,,,,,,,
국정운영평가,긍정평가,646,29,45,19,3,5,74,22,5,644
국정운영평가,부정평가,296,1,10,32,56,1,11,88,1,296
국정운영평가,모름무응답,58,4,15,38,23,20,19,61,20,60
,,,,,,,,,,,
주택보유여부,무주택자,271,17,31,25,21,6,48,46,6,272
주택보유여부,1주택자,596,19,34,23,19,4,54,43,4,591
주택보유여부,2주택자이상,124,23,31,24,19,4,53,43,4,128
주택보유여부,모름무응답,9,0,35,32,10,22,35,43,22,9
,,,,,,,,,,,
지선인식,국정안정,538,32,45,15,3,4,78,18,4,536
지선인식,정부견제,368,3,18,34,44,1,21,78,1,369
지선인식,모름무응답,94,5,20,34,21,19,26,55,19,95
