,,,,,,
2025년 10월 4주 （21~23일）,,10.15 주택시장 안정화 대책,,,,
,,적절하다,적절하지 않다,모름/ 응답거절,,
전체,,37%,44%,19%,,
지역별,서울,36%,49%,15%,,
,인천/경기,39%,43%,17%,,
,강원,-,-,-,,
,대전/세종/충청,36%,37%,27%,,
,광주/전라,49%,29%,22%,,
,대구/경북,25%,55%,21%,,
,부산/울산/경남,35%,48%,16%,,
,제주,-,-,-,,
성별,남성,38%,45%,16%,,
,여성,36%,43%,21%,,
연령별,18~29세,31%,39%,30%,,
,30대,24%,57%,19%,,
,40대,53%,35%,12%,,
,50대,48%,40%,13%,,
,60대,35%,51%,14%,,
,70대 이상,27%,45%,28%,,
주요,더불어민주당,56%,24%,20%,,
지지,국민의힘,16%,73%,11%,,
정당별,조국혁신당,-,-,-,,
,무당（無黨）층,22%,51%,27%,,
직업별,농/임/어업,-,-,-,,
,자영업,38%,50%,12%,,
,기능노무/서비스,35%,48%,17%,,
,사무/관리,40%,45%,15%,,
,전업주부,35%,44%,21%,,
,학생,41%,29%,30%,,
,무직/은퇴/기타,34%,38%,28%,,
성향별,보수,22%,67%,11%,,
,중도,39%,42%,19%,,
,진보,57%,25%,18%,,
,모름/응답거절,24%,33%,43%,,
대통령,긍정 평가자,58%,23%,19%,,
직무,부정 평가자,9%,81%,10%,,
본인·배우자,있다 （유주택자）,41%,44%,15%,,
명의 집,없다 （무주택자）,31%,44%,25%,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2026년 1월 5주（27~29일）,,"귀하는 현 정부가 부동산 정책을 잘하고 있다고 보십니까, 잘못하고 있다고 보십니까?",,,,
,,잘하고 있다,잘못하고 있다,의견 유보(어느쪽도 아님),모름/ 응답거절,
전체,,26%,40%,34%    7%,27%,
지역별,서울,21%,51%,28%    8%,20%,
,인천/경기,28%,39%,33%    8%,25%,
,강원,,-,--,,
,대전/세종/충청,24%,34%,41%    6%,35%,
,광주/전라,36%,26%,37%    5%,32%,
,대구/경북,18%,46%,36%    9%,27%,
,부산/울산/경남,22%,41%,36%    8%,28%,
,제주,-,-,--,-,
성별,남성,28%,40%,32%    7%,25%,
,여성,23%,40%,36%    8%,28%,
연령별,18~29세,15%,50%,35%    1%,34%,
,30대,16%,52%,32%    6%,26%,
,40대,37%,32%,31%    9%,22%,
,50대,36%,30%,34%    10%,24%,
,60대,31%,41%,28%    9%,20%,
,70대 이상,15%,40%,45%    8%,37%,
주요,더불어민주당,47%,17%,36%    9%,26%,
지지,국민의힘,7%,69%,24%    4%,20%,
정당별,조국혁신당,-,-,--,-,
,무당（無黨）층,5%,53%,42%    7%,35%,
직업별,농/임/어업,-,-,--,-,
,자영업,28%,44%,28%    9%,19%,
,기능노무/서비스,27%,37%,36%    9%,28%,
,사무/관리,28%,42%,30%    7%,23%,
,전업주부,23%,39%,38%    8%,29%,
,학생,18%,45%,37%,37%,
,무직/은퇴/기타,25%,36%,39%    6%,33%,
성향별,보수,13%,59%,27%    6%,22%,
,중도,29%,42%,30%    8%,22%,
,진보,42%,21%,37%    9%,28%,
,모름/응답거절,12%,36%,52%    5%,48%,
대통령,긍정 평가자,41%,21%,38%    9%,29%,
직무,부정 평가자,2%,81%,17%    3%,14%,
본인·배우자,있다 （유주택자）,31%,38%,31%    8%,23%,
명의 집,없다 （무주택자）,18%,44%,38%    6%,32%,
